price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,pctChange,changeCategory
340.5,343.959991,330.140015,341.399994,7831000,341.399994,11/5/2018,TSLA,-0.01446266,-0.01446266,-0.58842597,E
339.070007,348.799988,336.089996,341.059998,6762900,341.059998,11/6/2018,TSLA,-0.000995888,-0.000995888,-0.135652327,E
343.339996,351.179993,340.799988,348.160004,7374500,348.160004,11/7/2018,TSLA,0.020817469,0.020817469,-0.241851321,E
348.5,357.579987,348.440002,351.399994,7090700,351.399994,11/8/2018,TSLA,0.009306037,0.009306037,-0.172062546,E
349,354,345.230011,350.51001,5098800,350.51001,11/9/2018,TSLA,-0.002532681,-0.002532681,0.220580067,E
348.369995,349.779999,330.339996,331.279999,6941500,331.279999,11/12/2018,TSLA,-0.054862944,-0.054862944,1.286234006,U
333.160004,344.700012,332.200012,338.730011,5448600,338.730011,11/13/2018,TSLA,0.022488566,0.022488566,0.503823488,E
342.700012,347.109985,337.149994,344,5040300,344,11/14/2018,TSLA,0.015558081,0.015558081,-0.334244097,E
342.329987,348.579987,339.040009,348.440002,4625700,348.440002,11/15/2018,TSLA,0.012906983,0.012906983,-1.312164464,D
345.190002,355.700012,345.119995,354.309998,7206200,354.309998,11/16/2018,TSLA,0.016846504,0.016846504,-0.48283765,E
356.339996,366.75,352.880005,353.470001,9708900,353.470001,11/19/2018,TSLA,-0.002370797,-0.002370797,-0.557690673,E
341.75,349.799988,333.549988,347.48999,8004700,347.48999,11/20/2018,TSLA,-0.016918016,-0.016918016,0.022251793,E
352,353.100006,337.399994,338.190002,4686800,338.190002,11/21/2018,TSLA,-0.026763326,-0.026763326,0.17503907,E
334.350006,337.5,325.549988,325.829987,4202600,325.829987,11/23/2018,TSLA,-0.036547547,-0.036547547,1.439228351,U
325,346.220001,325,346,7992100,346,11/26/2018,TSLA,0.061903489,0.061903489,0.717839575,U
340.049988,346.959991,335.5,343.920013,6358300,343.920013,11/27/2018,TSLA,-0.006011523,-0.006011523,0.901014855,U
345.98999,348.279999,342.209991,347.869995,4127600,347.869995,11/28/2018,TSLA,0.011485176,0.011485176,0.859499306,U
347,347.5,339.549988,341.170013,3080700,341.170013,11/29/2018,TSLA,-0.019260017,-0.019260017,0.946091754,U
341.829987,351.600006,338.26001,350.480011,5629100,350.480011,11/30/2018,TSLA,0.027288442,0.027288442,0.816946866,U
360,366,352,358.48999,8306500,358.48999,12/3/2018,TSLA,0.022854311,0.022854311,0.45709027,E
356.049988,368.679993,352,359.700012,8461900,359.700012,12/4/2018,TSLA,0.00337533,0.00337533,0.379948639,E
356.01001,367.380005,350.76001,363.059998,7842500,363.059998,12/6/2018,TSLA,0.009341078,0.009341078,0.75016109,U
369,379.48999,357.649994,357.970001,11511200,357.970001,12/7/2018,TSLA,-0.014019713,-0.014019713,0.4223771,E
360,365.980011,353.119995,365.149994,6613500,365.149994,12/10/2018,TSLA,0.020057527,0.020057527,-0.916949936,D
369.910004,372.170013,360.230011,366.76001,6308800,366.76001,12/11/2018,TSLA,0.004409191,0.004409191,-1.650666158,D
369.420013,371.910004,365.160004,366.600006,5027000,366.600006,12/12/2018,TSLA,-0.000436263,-0.000436263,-1.896856699,D
370.149994,377.440002,366.75,376.790009,7365900,376.790009,12/13/2018,TSLA,0.027795971,0.027795971,-3.549198293,D
375,377.869995,364.329987,365.709991,6337600,365.709991,12/14/2018,TSLA,-0.029406348,-0.029406348,-2.730082131,D
362,365.700012,343.880005,348.420013,7674000,348.420013,12/17/2018,TSLA,-0.047277839,-0.047277839,-3.265125856,D
350.540009,351.549988,333.690002,337.029999,7100000,337.029999,12/18/2018,TSLA,-0.03269047,-0.03269047,-0.681397236,D
337.600006,347.01001,329.73999,332.970001,8274200,332.970001,12/19/2018,TSLA,-0.012046399,-0.012046399,-1.060380803,D
327.049988,330.290009,311.869995,315.380005,9071900,315.380005,12/20/2018,TSLA,-0.05282757,-0.05282757,1.163728041,U
317.399994,323.470001,312.440002,319.769989,8016800,319.769989,12/21/2018,TSLA,0.013919665,0.013919665,0.812660736,U
313.5,314.5,295.200012,295.390015,5559900,295.390015,12/24/2018,TSLA,-0.07624222,-0.07624222,0.92331676,U
300,326.970001,294.089996,326.089996,8163100,326.089996,12/26/2018,TSLA,0.103930328,0.103930328,-1.608653557,D
319.839996,322.170013,301.5,316.130005,8575100,316.130005,12/27/2018,TSLA,-0.030543688,-0.030543688,0.097960535,E
323.100006,336.23999,318.410004,333.869995,9939000,333.869995,12/28/2018,TSLA,0.056116122,0.056116122,0.067778797,E
337.790009,339.209991,325.26001,332.799988,6302300,332.799988,12/31/2018,TSLA,-0.003204861,-0.003204861,0.158445262,E
306.100006,315.130005,298.799988,310.119995,11658600,310.119995,1/2/2019,TSLA,-0.06814902,-0.06814902,1.760032482,U
307,309.399994,297.380005,300.359985,6954400,300.359985,1/3/2019,TSLA,-0.031471721,-0.031471721,2.714798192,U
306,318,302.730011,317.690002,7394100,317.690002,1/4/2019,TSLA,0.057697489,0.057697489,1.757713123,U
321.720001,336.73999,317.75,334.959991,7551200,334.959991,1/7/2019,TSLA,0.054361135,0.054361135,-0.033014311,E
341.959991,344.01001,327.019989,335.350006,7008500,335.350006,1/8/2019,TSLA,0.001164363,0.001164363,0.532826605,E
335.5,343.5,331.470001,338.529999,5432900,338.529999,1/9/2019,TSLA,0.009482609,0.009482609,0.438986732,E
334.399994,345.390015,331.790009,344.970001,6056400,344.970001,1/10/2019,TSLA,0.019023431,0.019023431,0.13601866,E
342.089996,348.410004,338.769989,347.26001,5039100,347.26001,1/11/2019,TSLA,0.006638284,0.006638284,-2.671006237,D
342.380005,342.5,334,334.399994,5247300,334.399994,1/14/2019,TSLA,-0.037032816,-0.037032816,-2.157526327,D
335,348.799988,334.5,344.429993,6056600,344.429993,1/15/2019,TSLA,0.029994017,0.029994017,-3.540403438,D
344.779999,352,343.5,346.049988,4691700,346.049988,1/16/2019,TSLA,0.004703409,0.004703409,-3.49309222,D
346.209991,351.5,344.149994,347.309998,3676700,347.309998,1/17/2019,TSLA,0.003641121,0.003641121,-3.306094146,D
323,327.130005,299.730011,302.26001,24150800,302.26001,1/18/2019,TSLA,-0.129711175,-0.129711175,-0.397812811,E
304.820007,308,295.5,298.920013,12066700,298.920013,1/22/2019,TSLA,-0.011050079,-0.011050079,-0.099046095,E
292.5,294.5,281.690002,287.589996,12530000,287.589996,1/23/2019,TSLA,-0.037903173,-0.037903173,1.428868115,U
283.029999,293.679993,279.279999,291.51001,8012200,291.51001,1/24/2019,TSLA,0.013630565,0.013630565,1.03504515,U
294.390015,298.519989,289.549988,297.040009,7249600,297.040009,1/25/2019,TSLA,0.018970186,0.018970186,1.000834506,U
292.910004,297.459991,287.75,296.380005,6423300,296.380005,1/28/2019,TSLA,-0.002221936,-0.002221936,1.079832576,U
295.269989,298.559998,291.799988,297.459991,4621700,297.459991,1/29/2019,TSLA,0.003643923,0.003643923,1.541539942,U
300.450012,309,298.48999,308.769989,11250300,308.769989,1/30/2019,TSLA,0.038021913,0.038021913,0.539517438,E
301,311.559998,294,307.019989,12569200,307.019989,1/31/2019,TSLA,-0.005667649,-0.005667649,0.031307912,E
305.420013,316.100006,303.5,312.209991,7283400,312.209991,2/1/2019,TSLA,0.016904443,0.016904443,-0.409807433,E
312.980011,315.299988,301.880005,312.890015,7352100,312.890015,2/4/2019,TSLA,0.002178098,0.002178098,-0.003196766,E
312.48999,322.440002,312.25,321.350006,6742800,321.350006,2/5/2019,TSLA,0.027038226,0.027038226,-0.610062701,D
319.589996,324.23999,315.619995,317.220001,5038500,317.220001,2/6/2019,TSLA,-0.012852046,-0.012852046,-0.582820488,E
313.299988,314.700012,303,307.51001,6520600,307.51001,2/7/2019,TSLA,-0.030609643,-0.030609643,-0.242609072,E
306.829987,307.450012,298.5,305.799988,5844200,305.799988,2/8/2019,TSLA,-0.005560866,-0.005560866,0.134900334,E
311.600006,318.600006,310.5,312.839996,7129700,312.839996,2/11/2019,TSLA,0.02302161,0.02302161,-0.466998023,E
316.200012,318.190002,309.619995,311.809998,5517600,311.809998,2/12/2019,TSLA,-0.003292411,-0.003292411,-0.603316605,D
312.350006,312.75,305.570007,308.170013,5141600,308.170013,2/13/2019,TSLA,-0.011673728,-0.011673728,-1.11738365,D
303.380005,306.769989,301,303.769989,5200800,303.769989,2/14/2019,TSLA,-0.014277911,-0.014277911,-0.602063227,D
304.5,308,303.899994,307.880005,3904900,307.880005,2/15/2019,TSLA,0.013530026,0.013530026,-0.607067962,D
306.559998,311.540009,305.470001,305.640015,4168400,305.640015,2/19/2019,TSLA,-0.007275529,-0.007275529,-0.521341996,E
304.410004,306.299988,299,302.559998,7142100,302.559998,2/20/2019,TSLA,-0.01007727,-0.01007727,0.812058132,U
301.809998,303.23999,290.5,291.230011,8909200,291.230011,2/21/2019,TSLA,-0.037447075,-0.037447075,1.891931683,U
294.48999,296.5,292.100006,294.709991,5740600,294.709991,2/22/2019,TSLA,0.011949249,0.011949249,0.005273739,E
297.910004,302.899994,297,298.769989,6626500,298.769989,2/25/2019,TSLA,0.013776248,0.013776248,-0.888373917,D
292.220001,302.01001,288.769989,297.859985,8582500,297.859985,2/26/2019,TSLA,-0.003045835,-0.003045835,-1.42993519,D
301.779999,316.299988,300.549988,314.73999,11183900,314.73999,2/27/2019,TSLA,0.056670939,0.056670939,-2.613787464,D
318.920013,320,310.809998,319.880005,10520700,319.880005,2/28/2019,TSLA,0.016330988,0.016330988,-3.003816987,D
306.940002,307.130005,291.899994,294.790009,22911400,294.790009,3/1/2019,TSLA,-0.07843565,-0.07843565,-0.754578414,D
298.119995,299,282.779999,285.359985,17096800,285.359985,3/4/2019,TSLA,-0.031988954,-0.031988954,0.394843949,E
282,284,270.100006,276.540009,18764700,276.540009,3/5/2019,TSLA,-0.030908244,-0.030908244,0.484892739,E
276.480011,281.51001,274.390015,276.23999,10335500,276.23999,3/6/2019,TSLA,-0.001084903,-0.001084903,0.897771528,U
